ReportName,Category,CDS,CDX,VDP,Option,SortOrder
reportfabric,sarg,N,Y,N,p,"ClusterName,NodeName,InterfaceType,InterfaceName,Function,MAC/WWPN,State,LinkSpeed,IPAddress/FCID,IQN"
reportfailedjobs,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,Status,PolicyName,HostName,AppName,AppID,Duration,CaptureType,ErrorCode,Message,RetryCommand"
reportfailedjobs,sarg,Y,Y,Y,f,"Startdate,JobClass,Status,PolicyName,HostName,AppName,AppID,ErrorCode,Count,Message,LastSuccessfulJob,LastDuration,LastJobName"
reportfailedjobs,sarg,Y,Y,Y,x,"Startdate,JobClass,Status,PolicyName,HostName,AppName,AppID,ErrorCode,Count,Message,LastSuccessfulJob,LastDuration,LastJobName"
reportfctree,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,MountedHost,Label,vDiskType,vDiskName,DiskPool,UsedCapacity(GB),TotalCapacity(GB),CreationDate,CompressionRatio,ImageName,ConsistencyDate"
reportgroups,sarg,Y,Y,Y,-,"GroupID,GroupName,GroupType,AppType,HostName,AppName,AppID,Template,Profile,IgnoredStatus,InstanceName,Clustered"
reporthealth,sarg,Y,Y,Y,-,"CheckName,Result,Status"
reporthealth,sarg,Y,Y,Y,i,"Process,MemoryUsage(MB),Uptime"
reportimagecount,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,SourceCluster,Template,Profile,Vols,AppSize(GB),Snaps,D2D,Dedup,RemDup,OnVaults,LiveClone,Mount,Total,ProdMirrorDate"
reportimages,sarg,Y,Y,Y,-,"ImageName,JobClass,HostName,AppName,AppID,AppSize(GB),ConsistencyDate,EndPIT,ExpirationDate,SourceCluster,Label,ImmutabilityDate,RestoreableObjects,CloudPool"
reportimages,sarg,Y,Y,Y,m,"ImageName,JobClass,HostName,AppName,AppID,AppSize(GB),ConsistencyDate,ExpirationDate,SourceCluster,PolicyName,MigrateCommand,CheckCommand,ExpireCommand"
reportimages,sarg,Y,N,N,s,"ImageName,JobClass,HostName,AppName,AppID,Vols,VirtualSize(GB),AppSize(GB),StageUsed(GB),SnapshotUsed(GB),ConsistencyDate,ExpirationDate,SourceCluster,StagingDisks,SnapshotDisks"
reportimages,sarg,N,Y,Y,s,"ImageName,JobClass,HostName,AppName,AppID,Vols,VirtualSize(GB),AppSize(GB),StageUsed(GB),SharedSnapshotUsed(GB),SnapshotUsed(GB),ConsistencyDate,ExpirationDate,SourceCluster,StagingDisks,SnapshotDisks,CompressionRatio"
reportimages,sarg,Y,Y,Y,y,"ImageName,JobClass,HostName,AppName,AppID,AppSize(GB),ConsistencyDate,EndPIT,ExpirationDate,SourceCluster,BackupLock,RestoreLock,ImmutabilityDate,ImageStatus,ExpireCommand"
reportinband,sarg,Y,Y,Y,-,"DiskName,DiskSize(GB),MappedHost(s),Apptype,Hostname,AppName,AppID,Snapshot,UUID,Type"
reportjobcount,sarg,Y,Y,Y,-,"Event,Count"
reportliveclones,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,PolicyName,HostName,AppName,AppID,Duration,VirtSize(GB),AppSize(GB),DataCopied(GB),ChangeRate(%)"
reportmappeddisks,sarg,Y,N,N,-,"DiskName,DiskSize(GB),MappedHost,Apptype,Hostname,AppName,AppID,RunningJob,LUNID,UUID"
reportmappeddisks,sarg,Y,N,N,u,"DiskName,DiskSize(GB),MappedHost,Apptype,Hostname,AppName,AppID,RunningJob,LUNID,UnmapCommand"
reportmappeddisks,sarg,N,Y,Y,-,"VDiskName,DiskSize(GB),MappedHost,Apptype,Hostname,AppName,AppID,RunningJob,LUNID,UUID"
reportmappeddisks,sarg,N,Y,Y,u,"VDiskName,DiskSize(GB),MappedHost,Apptype,Hostname,AppName,AppID,RunningJob,LUNID,UnmapCommand"
reportmdiskspace,sarg,N,Y,Y,-,"PoolName,DiskName,DiskSize,FreeSpace,DeviceName,SCSI_ID,DiskInfo"
reportmdiskspace,sarg,Y,N,N,-,"PoolName,MDiskName,Status,MDiskSize(GB),ExtentSize(MB),TotalExtents,FreeExtents,FreeSpace(GB),Controller,LUNID(hex),LUNID(dec)"
reportmountedimages,sarg,Y,Y,Y,-,"MountImageName,OriginalImageName,OriginalClass,ConsistencyDate,LastMountDate,AppType,SourceHost,SourceApp,SourceAppID,MountedHost,MountedAppName,VirtSize(GB),ConsumedSize(GB),Label,UnmountDeleteCommand,Transport,RestoreableObjects,Age,ParentSnap(GB),MountedAppID,UserName,ReadMode"
reportmountedimages,sarg,Y,Y,Y,b,"MountImageName,AppType,SourceHost,SourceApp,SourceAppID,MountedHost,MountedAppName,MountedHostID,RestoreOptions"
reportmountedimages,sarg,Y,Y,Y,p,"MountImageName,OriginalImageName,OriginalClass,ConsistencyDate,LastMountDate,AppType,SourceHost,SourceApp,SourceAppID,MountedHost,MountedAppName,VirtSize(GB),ConsumedSize(GB),Label,UnmountDeleteCommand,MountPool,Transport,RestoreableObjects,Age,ParentSnap(GB),MountedAppID,UserName,ReadMode"
reportmountedimages,sarg,Y,Y,Y,1,"MountImageName,AppType,SourceHost,SourceApp,SourceAppID,MountedHost,MountedAppName,MountedHostID,RemountCommand"
reportmountedimages,sarg,Y,Y,Y,u,"MountImageName,OriginalImageName,OriginalClass,ConsistencyDate,LastMountDate,AppType,SourceHost,SourceApp,SourceAppID,MountedHost,MountedAppName,VirtSize(GB),ConsumedSize(TB),Label,UnmountDeleteCommand,Transport,RestoreableObjects,Age,ParentSnap(TB),MountedAppID,UserName,ReadMode"
reportmounts,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,Status,SourceHost,SourceApp,SourceAppID,TargetHost,Duration,VirtualSize(GB),ApplicationSize(GB),OriginalClass,Transport,UserName"
reportonvaults,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,PolicyName,HostName,AppName,AppID,Duration,VirtSize(GB),AppSize(GB),PreCompress(GB),DataCopied(GB),CaptureType,ChangeRate%,CompRatio,TargetPool"
reportorgmembers,sarg,Y,Y,Y,-,"SourceCluster,AppType,HostName,AppName,AppID,Template,Profile,Ignored,AppMemberOrgs"
reportorgusage,sarg,Y,Y,Y,-,"OrgName,OrgID,AppQty,ProtectedAppQty,MDLUsage(GB),VDisks,SnapPoolUsage(GB),DataCopied(GB),LocalPostCompress(GB),RemotePostCompress(GB),OnVaultDataCopied(GB),OnVaultPoolUsage(GB)"
reportorgusage,sarg,Y,Y,Y,t,"TemplateName,SLTID,AppQty,ProtectedAppQty,MDLUsage(GB),VDisks,SnapPoolUsage(GB),DataCopied(GB),LocalPostCompress(GB),RemotePostCompress(GB),OnVaultDataCopied(GB),OnVaultPoolUsage(GB)"
reportpolicies,sarg,Y,Y,Y,-,"TemplateID,TemplateName,PolicyID,PolicyName,TotalApps,Operation,Priority,Retention,AppConsistency,LogProtection,LogTruncation,Starts,Ends,RunsEvery,RunInformation,ExceptInformation,SourceOnVaultPool,TargetOnVaultPool"
reportpoolhistory,sarg,Y,Y,Y,-,"Poolname,Date,PoolSize(GB),UsedSize(GB),Used%"
reportpoolhistory,sarg,Y,Y,Y,g,"StatDate,HostName,AppName,AppID,MDL(GB)"
reportpoolhistory,sarg,Y,Y,Y,r,"Name,EndTime,TargetClusterName,Total(MB),Average(MBps),Peak(MBps)"
reportpoolhistory,sarg,Y,Y,Y,s,"Name,EndTime,TargetClusterName,Total(MB),Average(MBps),Peak(MBps)"
reportpoolhistory,sarg,Y,Y,Y,t,"Name,EndTime,TargetClusterName,Total(MB),Average(MBps)"
reportpoolhistory,sarg,Y,Y,Y,v,"Name,StatDate,MaximumVDisks,UsedVDisks,Used%"
reportpoolhistory,sarg,Y,Y,Y,x,"StatDate,HostName,AppName,AppID,MDL(GB)"
reportpools,sarg,Y,Y,Y,-,"PoolName,FreeSpaceGiB,UsedSpaceGiB,PoolSizeGiB,PoolSize7DaysAgoGiB,UsageToday%,Usage1DayAgo%,Usage7DaysAgo%,Warn%,Safe%,Status,CompressionRatio,pooltype,PoolID,ArrayID,MDiskGrp,VaultType,Bucket,Encryption,ObjectSize"
reportpools,sarg,Y,Y,Y,u,"PoolName,FreeSpaceTiB,UsedSpaceTiB,PoolSizeTiB,PoolSize7DaysAgoTiB,UsageToday%,Usage1DayAgo%,Usage7DaysAgo%,Warn%,Safe%,Status,CompressionRatio,pooltype,PoolID,ArrayID,MDiskGrp,VaultType,Bucket,Encryption,ObjectSize"
reportprofiles,sarg,Y,Y,Y,-,"ProfileID,ProfileName,TotalApps,LocalAppliance,LocalSnapshotPool,RemoteDedupAppliance,RemoteMirrorAppliance,VaultName,ExternalSnapshotPool,VaultName2,VaultName3,VaultName4"
reportrbac,sarg,Y,Y,Y,l,"MappedLDAPGroupName,MappedLDAPGroupID,Roles,Organizations,ApplianceName"
reportrbac,sarg,Y,Y,Y,m,"Orgname,OrgID,ResourceType,HostName,ResourceName,ResourceID,ApplianceName"
reportrbac,sarg,Y,Y,Y,s,"Username,UserID,LDAPGroups,Roles,Organizations,ApplianceName"
reportremotededups,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,PolicyName,HostName,AppName,AppID,Duration,VirtSize(GB),AppSize(GB),NewLocal(MB),DataSent(MB),TotalSent(MB),Saving%,ExpirationDate"
reportrestores,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,HostName,AppName,AppID,Duration,VirtualSize(GB),ApplicationSize(GB),UserName"
reportrpo,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,Template,Profile,AppSize(GB),RPO(mins),LogsDate,SnapshotDate,DirectDedupDate,DedupDate,RemoteDedupDate,ProdMirror,LiveCloneDate,OnVaultDate"
reportrpo,sarg,Y,Y,Y,m,"AppType,HostName,AppName,AppID,Template,Profile,AppSize(GB),RPO(mins),LogsDate,SnapshotDate,DirectDedupDate,DedupDate,RemoteDedupDate,ProdMirror,LiveCloneDate,OnVaultDate,ShortestPolicyDedup,ShortestPolicyReplicate,ShortestPolicyOnVault,ShortPolicySnapshot"
reportrpo,sarg,Y,Y,Y,x,"AppType,HostName,AppName,AppID,Template,Profile,AppSize(GB),RPO(mins),LogsDate,SnapshotDate,DirectDedupDate,DedupDate,RemoteDedupDate,ProdMirror,LiveCloneDate,OnVaultDate,ShortestPolicyDedup,ShortestPolicyReplicate,ShortestPolicyOnVault,ShortPolicySnapshot"
reportrpo,sarg,Y,Y,Y,y,"AppType,HostName,AppName,AppID,Template,Profile,AppSize(GB),RPO(mins),LogsDate,SnapshotDate,DirectDedupDate,DedupDate,RemoteDedupDate,ProdMirror,LiveCloneDate,OnVaultDate,ShortestPolicyDedup,ShortestPolicyReplicate,ShortestPolicyOnVault,ShortPolicySnapshot"
reportrpo,sarg,Y,Y,Y,z,"AppType,HostName,AppName,AppID,Template,Profile,AppSize(GB),RPO(mins),LogsDate,SnapshotDate,DirectDedupDate,DedupDate,RemoteDedupDate,ProdMirror,LiveCloneDate,OnVaultDate,ShortestPolicyDedup,ShortestPolicyReplicate,ShortestPolicyOnVault,ShortPolicySnapshot"
reportrunningjobs,sarg,Y,Y,Y,-,"JobClass,JobName,HostName,AppName,AppID,StartDate,Duration,Status,Size(GiB),Progress%,OnDemand,Target,PhaseMessage"
reportrunningjobs,sarg,Y,Y,Y,q,"JobClass,JobName,HostName,AppName,AppID,QueueDate,WaitTime,Status,Priority,ConstraintInfo,Target"
reportrunningjobs,sarg,Y,Y,Y,t,"JobClass,JobName,HostName,AppName,AppID,StartDate,Duration,Status,Size(GiB),Progress%,OnDemand,Target,PhaseMessage,TemplateName"
reportrunningjobs,sarg,Y,Y,Y,y,"JobClass,JobName,HostName,AppName,AppID,StartDate,Duration,Status,Size(GiB),Progress%,OnDemand,Target,PhaseMessage,PreviousDurations"
reportslaoptions,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,Template,Profile,SLAID,ScheduleOff,ExpirationOff,SnapshotOff,LocalDedupsOff,RemoteDedupOff,DAROff,SnapCatchup,DedupCatchup,StreamSnapOff,OnVaultOff,OnVaultCatchup,CreateDate"
reportslaoptions,sarg,Y,Y,Y,u,"AppType,HostName,AppName,AppID,Template,Profile,SLAID,CreateDate,UserName"
reportslaviolations,sarg,Y,Y,Y,-,"ViolationDate,HostName,AppName,AppID,Template,Policy,JobClass,ViolationType,ExpectedJobs,Tolerance,SucceededJobs,FailedJobs,Message,RetryCommand"
reportslaviolations,sarg,Y,Y,Y,t,"ApplianceName,StartAnalysis,EndAnalysis,Snapshot,DirectDedup,Dedup,Remote-Dedup,DedupAsync,StreamSnap,OnVault,Total"
reportsnappool,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,SourceCluster,Template,Profile,Poolname,Vols,AppSize(GB),VDisks,Stage(GB),Snap(GB),Logs(GB),Mount(GB),Mirror(GB),LiveClone(GB),Rehydrate(GB),Clone(GB),Total(GB),VirtualSize(GB)"
reportsnappool,sarg,Y,Y,Y,f,"HostName,AppName,AppID,VDiskCount,StagingDisks(GB),Snapshots(GB),TotalUsed(GB)"
reportstreamsnaps,sarg,Y,Y,Y,-,"StartDate,JobName,JobClass,TargetAppliance,HostName,AppName,AppID,Duration,VirtSize(GB),AppSize(GB),DataCopied(MB),BytesSent(MB),BytesWritten(MB),WANReduction%,LocalReadWait(secs),RemoteWriteWait(secs),BandwidthSendWait(secs),Duration(secs),Volumes"
reportstreamsnaps,sarg,Y,Y,Y,g,"StartDate,JobName,JobClass,TargetAppliance,HostName,AppName,AppID,Duration,VirtSize(GB),AppSize(GB),DataCopied(GB),BytesSent(GB),BytesWritten(GB),WANReduction%,LocalReadWait(secs),RemoteWriteWait(secs),BandwidthSendWait(secs),Duration(secs),Volumes"
reportsweeps,sarg,Y,Y,Y,-,"StartDate,EndDate,JobName,JobClass,Status,Progress%,Duration,SpaceReclaimed(GB),SpaceSwept(GB)"
reportsweeps,sarg,Y,Y,Y,s,"GC Threshold,GC Enabled,GC Scheduled,GC Schedule Date,Sweep Enabled,Sweep Threshold%"
reportunprotected,sarg,Y,Y,Y,-,"AppType,HostName,AppName,AppID,Ignored,InstanceStatus"
reportvms,sarg,Y,Y,Y,-,"Section,Description,vCenter,ClusterName,VMName,UUID,AppID,Template,Ignored,OSRelease"
reportvms,sarg,Y,Y,Y,e,"VCenter,VMName,AppID,Status,HardDiskName,VMDKName"
reportvms,sarg,Y,Y,Y,i,"VCenter,VMName,AppID,Status,HardDiskName,VMDKName"
reportvms,sarg,Y,Y,Y,m,"Section,Description,SCVMM,ClusterName,VMName,UUID,AppID,Template,Ignored,OSRelease"
reportvms,sarg,Y,Y,Y,p,"Section,Description,CloudCredential,CloudType,VMName,UUID,HostID,AppID,Template,Ignored,Region,MachineType"
reportvms,sarg,Y,Y,Y,v,"VCenter,AppID,VMName,BootVolume,IncludeVolumes,ExcludeVolumes"
reportworkflows,sarg,Y,Y,Y,-,"WorkflowName,ID,SourceApptype,SourceHostName,SourceAppName,SourceAppID,EnableStatus,ScheduleType,Type,PrepmountHost,TargetHosts,TargetApp,Label,ScheduleTime"
reportworkflows,sarg,Y,Y,Y,s,"WorkflowName,ID,SourceApptype,SourceHostName,SourceAppName,SourceAppID,Startdate,Duration,Status,Steps"
